domain,verdict,program_type,source,program_url,platform,contact_email,notes
alpaca.markets,FOUND,N/A,security_page,https://alpaca.markets/security,self-hosted,support@alpaca.markets,Found at /security
a26.vc,NOT_FOUND,N/A,none,,,,
airpay.co.in,NOT_FOUND,N/A,none,,,,
allocate.co,NOT_FOUND,N/A,none,,,,
alphacast.io,NOT_FOUND,N/A,none,,,,
9fin.com,NOT_FOUND,N/A,none,,,,
acctual.com,NOT_FOUND,N/A,none,,,,
aajil.sa,NOT_FOUND,N/A,none,,,,
absoluteinvestimentos.com.br,NOT_FOUND,N/A,none,,,,
1984.vc,NOT_FOUND,N/A,none,,,,
abill.io,NOT_FOUND,N/A,none,,,,
agoracred.com.br,NOT_FOUND,N/A,none,,,,
akua.la,NOT_FOUND,N/A,none,,,,
alterdomus.com,NOT_FOUND,N/A,none,,,,
andcapitalventures.com,NOT_FOUND,N/A,none,,,,
aption.com,NOT_FOUND,N/A,none,,,,
aibox.ai,NOT_FOUND,N/A,none,,,,
antler.co,NOT_FOUND,N/A,none,,,,
abenex.com,NOT_FOUND,N/A,none,,,,
autocio.com,NOT_FOUND,N/A,none,,,,
auquan.com,NOT_FOUND,N/A,none,,,,
altfndata.com,NOT_FOUND,N/A,none,,,,
aries.com,NOT_FOUND,N/A,none,,,,
b.capital,NOT_FOUND,N/A,none,,,,
atominvest.co,NOT_FOUND,N/A,none,,,,
atriumdata.ai,NOT_FOUND,N/A,none,,,,
aventure.vc,NOT_FOUND,N/A,none,,,,
avici.money,NOT_FOUND,N/A,none,,,,
badideas.fund,NOT_FOUND,N/A,none,,,,
brain.fi,NOT_FOUND,N/A,none,,,,
bajajbroking.in,NOT_FOUND,N/A,none,,,,
battery.com,NOT_FOUND,N/A,none,,,,
blindpay.com,NOT_FOUND,N/A,none,,,,
blocksize.info,NOT_FOUND,N/A,none,,,,
brale.xyz,NOT_FOUND,N/A,none,,,,
bigdata.com,NOT_FOUND,N/A,none,,,,
bsteuern.com,NOT_FOUND,N/A,none,,,,
cashflowfrog.com,NOT_FOUND,N/A,none,,,,
bluegamma.io,NOT_FOUND,N/A,none,,,,
bloomberg.com,NOT_FOUND,N/A,none,,,,
bnicapital.com,NOT_FOUND,N/A,none,,,,
branch.co,NOT_FOUND,N/A,none,,,,
bridgemarketplace.com,NOT_FOUND,N/A,none,,,,
cumbuca.com,FOUND,N/A,security.txt,https://cumbuca.com/security.txt,,mailto:security@cumbuca.com,Found via security.txt
chipax.com,NOT_FOUND,N/A,none,,,,
caisgroup.com,NOT_FOUND,N/A,none,,,,
checkout.com,FOUND,N/A,security_page,https://checkout.com/responsible-disclosure,self-hosted,,Found at /responsible-disclosure
builders.studio,NOT_FOUND,N/A,none,,,,
cashfree.com,NOT_FOUND,N/A,none,,,,
chargebee.com,NOT_FOUND,N/A,none,,,,
chargeback.io,NOT_FOUND,N/A,none,,,,
century.ae,NOT_FOUND,N/A,none,,,,
cofi.ai,NOT_FOUND,N/A,none,,,,
credix.finance,NOT_FOUND,N/A,none,,,,
clarity.ai,NOT_FOUND,N/A,none,,,,
criterionrsch.com,NOT_FOUND,N/A,none,,,,
clemta.com,NOT_FOUND,N/A,none,,,,
dealflow.eu,NOT_FOUND,N/A,none,,,,
dash.fi,NOT_FOUND,N/A,none,,,,
dodopayments.com,NOT_FOUND,N/A,none,,,,
cryptoquant.com,NOT_FOUND,N/A,none,,,,
defillama.com,NOT_FOUND,N/A,none,,,,
digitalsurge.com.au,NOT_FOUND,N/A,none,,,,
danelfin.com,NOT_FOUND,N/A,none,,,,
dowgo.com,NOT_FOUND,N/A,none,,,,
datanomik.com,NOT_FOUND,N/A,none,,,,
dashplan.com.br,NOT_FOUND,N/A,none,,,,
embankment.com,NOT_FOUND,N/A,none,,,,
drakerep.com,NOT_FOUND,N/A,none,,,,
edgewaterresearch.com,NOT_FOUND,N/A,none,,,,
dukascopy.com,NOT_FOUND,N/A,none,,,,
fastmoss.com,NOT_FOUND,N/A,none,,,,
fastpace.com,NOT_FOUND,N/A,none,,,,
eukonomy.com,NOT_FOUND,N/A,none,,,,
fintoc.com,NOT_FOUND,N/A,none,,,,
finalto.com,NOT_FOUND,N/A,none,,,,
firstround.com,NOT_FOUND,N/A,none,,,,
flowcode.com,NOT_FOUND,N/A,none,,,,
finnest.ai,NOT_FOUND,N/A,none,,,,
fundify.com,NOT_FOUND,N/A,none,,,,
genzdealz.ai,NOT_FOUND,N/A,none,,,,
gyramais.com.br,NOT_FOUND,N/A,none,,,,
ibanfirst.com,FOUND,N/A,security.txt,https://ibanfirst.com/.well-known/security.txt,,mailto:security.txt@ibanfirst.com,Found via security.txt
flowcredi.com.br,NOT_FOUND,N/A,none,,,,
hewison.com.au,NOT_FOUND,N/A,none,,,,
goodfin.com,NOT_FOUND,N/A,none,,,,
goldwasserexchange.be,NOT_FOUND,N/A,none,,,,
gpbullhound.com,NOT_FOUND,N/A,none,,,,
greenstreet.com,NOT_FOUND,N/A,none,,,,
harmoney.in,NOT_FOUND,N/A,none,,,,
histellar.com,NOT_FOUND,N/A,none,,,,
